Max Depth,Min Samples Split,Accuracy
1,2,0.255
1,7,0.255
1,12,0.255
1,17,0.255
1,22,0.255
1,27,0.255
1,32,0.255
1,37,0.255
1,42,0.255
1,47,0.255
1,52,0.255
1,57,0.255
1,62,0.255
1,67,0.255
1,72,0.255
1,77,0.255
1,82,0.255
1,87,0.255
1,92,0.255
1,97,0.255
2,2,0.475
2,7,0.475
2,12,0.475
2,17,0.475
2,22,0.475
2,27,0.475
2,32,0.475
2,37,0.475
2,42,0.475
2,47,0.475
2,52,0.475
2,57,0.475
2,62,0.475
2,67,0.475
2,72,0.475
2,77,0.475
2,82,0.475
2,87,0.475
2,92,0.475
2,97,0.475
3,2,0.595
3,7,0.595
3,12,0.595
3,17,0.595
3,22,0.595
3,27,0.595
3,32,0.595
3,37,0.595
3,42,0.595
3,47,0.595
3,52,0.595
3,57,0.595
3,62,0.595
3,67,0.595
3,72,0.595
3,77,0.595
3,82,0.595
3,87,0.595
3,92,0.595
3,97,0.595
4,2,0.625
4,7,0.625
4,12,0.625
4,17,0.625
4,22,0.625
4,27,0.625
4,32,0.625
4,37,0.625
4,42,0.625
4,47,0.625
4,52,0.625
4,57,0.625
4,62,0.625
4,67,0.625
4,72,0.625
4,77,0.625
4,82,0.625
4,87,0.625
4,92,0.625
4,97,0.625
5,2,0.69
5,7,0.69
5,12,0.69
5,17,0.69
5,22,0.69
5,27,0.69
5,32,0.69
5,37,0.69
5,42,0.69
5,47,0.69
5,52,0.69
5,57,0.69
5,62,0.69
5,67,0.69
5,72,0.685
5,77,0.685
5,82,0.685
5,87,0.685
5,92,0.685
5,97,0.685
6,2,0.74
6,7,0.74
6,12,0.74
6,17,0.74
6,22,0.74
6,27,0.74
6,32,0.73
6,37,0.73
6,42,0.73
6,47,0.73
6,52,0.73
6,57,0.73
6,62,0.73
6,67,0.735
6,72,0.73
6,77,0.73
6,82,0.73
6,87,0.73
6,92,0.73
6,97,0.73
7,2,0.765
7,7,0.765
7,12,0.775
7,17,0.77
7,22,0.77
7,27,0.77
7,32,0.76
7,37,0.76
7,42,0.76
7,47,0.755
7,52,0.755
7,57,0.755
7,62,0.755
7,67,0.76
7,72,0.755
7,77,0.75
7,82,0.75
7,87,0.75
7,92,0.75
7,97,0.75
8,2,0.78
8,7,0.79
8,12,0.805
8,17,0.8
8,22,0.8
8,27,0.8
8,32,0.79
8,37,0.79
8,42,0.785
8,47,0.78
8,52,0.78
8,57,0.78
8,62,0.78
8,67,0.785
8,72,0.78
8,77,0.775
8,82,0.775
8,87,0.775
8,92,0.77
8,97,0.77
9,2,0.805
9,7,0.815
9,12,0.825
9,17,0.82
9,22,0.82
9,27,0.815
9,32,0.805
9,37,0.805
9,42,0.8
9,47,0.795
9,52,0.795
9,57,0.795
9,62,0.795
9,67,0.8
9,72,0.795
9,77,0.785
9,82,0.785
9,87,0.785
9,92,0.78
9,97,0.78
10,2,0.84
10,7,0.85
10,12,0.86
10,17,0.855
10,22,0.855
10,27,0.85
10,32,0.84
10,37,0.835
10,42,0.83
10,47,0.825
10,52,0.825
10,57,0.825
10,62,0.825
10,67,0.83
10,72,0.825
10,77,0.82
10,82,0.815
10,87,0.815
10,92,0.81
10,97,0.81
11,2,0.845
11,7,0.855
11,12,0.87
11,17,0.865
11,22,0.855
11,27,0.85
11,32,0.84
11,37,0.835
11,42,0.83
11,47,0.825
11,52,0.825
11,57,0.82
11,62,0.82
11,67,0.83
11,72,0.825
11,77,0.82
11,82,0.815
11,87,0.815
11,92,0.81
11,97,0.81
12,2,0.84
12,7,0.85
12,12,0.865
12,17,0.86
12,22,0.85
12,27,0.845
12,32,0.835
12,37,0.83
12,42,0.83
12,47,0.825
12,52,0.825
12,57,0.82
12,62,0.82
12,67,0.83
12,72,0.825
12,77,0.82
12,82,0.815
12,87,0.815
12,92,0.81
12,97,0.81
13,2,0.855
13,7,0.87
13,12,0.88
13,17,0.875
13,22,0.87
13,27,0.86
13,32,0.85
13,37,0.845
13,42,0.845
13,47,0.84
13,52,0.84
13,57,0.835
13,62,0.835
13,67,0.845
13,72,0.84
13,77,0.835
13,82,0.83
13,87,0.83
13,92,0.825
13,97,0.825
14,2,0.865
14,7,0.89
14,12,0.9
14,17,0.88
14,22,0.875
14,27,0.865
14,32,0.855
14,37,0.85
14,42,0.85
14,47,0.845
14,52,0.845
14,57,0.84
14,62,0.835
14,67,0.845
14,72,0.84
14,77,0.835
14,82,0.83
14,87,0.83
14,92,0.825
14,97,0.825
15,2,0.86
15,7,0.885
15,12,0.895
15,17,0.88
15,22,0.875
15,27,0.865
15,32,0.855
15,37,0.85
15,42,0.85
15,47,0.845
15,52,0.845
15,57,0.84
15,62,0.835
15,67,0.845
15,72,0.84
15,77,0.835
15,82,0.83
15,87,0.83
15,92,0.825
15,97,0.825
16,2,0.865
16,7,0.89
16,12,0.9
16,17,0.88
16,22,0.875
16,27,0.865
16,32,0.855
16,37,0.85
16,42,0.85
16,47,0.845
16,52,0.845
16,57,0.84
16,62,0.835
16,67,0.845
16,72,0.84
16,77,0.835
16,82,0.83
16,87,0.83
16,92,0.825
16,97,0.825
17,2,0.865
17,7,0.89
17,12,0.9
17,17,0.88
17,22,0.875
17,27,0.865
17,32,0.855
17,37,0.85
17,42,0.85
17,47,0.845
17,52,0.845
17,57,0.84
17,62,0.835
17,67,0.845
17,72,0.84
17,77,0.835
17,82,0.83
17,87,0.83
17,92,0.825
17,97,0.825
18,2,0.86
18,7,0.885
18,12,0.895
18,17,0.875
18,22,0.87
18,27,0.865
18,32,0.855
18,37,0.85
18,42,0.85
18,47,0.845
18,52,0.845
18,57,0.84
18,62,0.835
18,67,0.845
18,72,0.84
18,77,0.835
18,82,0.83
18,87,0.83
18,92,0.825
18,97,0.825
19,2,0.865
19,7,0.89
19,12,0.9
19,17,0.875
19,22,0.87
19,27,0.865
19,32,0.855
19,37,0.85
19,42,0.85
19,47,0.845
19,52,0.845
19,57,0.84
19,62,0.835
19,67,0.845
19,72,0.84
19,77,0.835
19,82,0.83
19,87,0.83
19,92,0.825
19,97,0.825
20,2,0.865
20,7,0.89
20,12,0.9
20,17,0.875
20,22,0.87
20,27,0.865
20,32,0.855
20,37,0.85
20,42,0.85
20,47,0.845
20,52,0.845
20,57,0.84
20,62,0.835
20,67,0.845
20,72,0.84
20,77,0.835
20,82,0.83
20,87,0.83
20,92,0.825
20,97,0.825
21,2,0.865
21,7,0.89
21,12,0.9
21,17,0.875
21,22,0.87
21,27,0.865
21,32,0.855
21,37,0.85
21,42,0.85
21,47,0.845
21,52,0.845
21,57,0.84
21,62,0.835
21,67,0.845
21,72,0.84
21,77,0.835
21,82,0.83
21,87,0.83
21,92,0.825
21,97,0.825
22,2,0.865
22,7,0.89
22,12,0.9
22,17,0.875
22,22,0.87
22,27,0.865
22,32,0.855
22,37,0.85
22,42,0.85
22,47,0.845
22,52,0.845
22,57,0.84
22,62,0.835
22,67,0.845
22,72,0.84
22,77,0.835
22,82,0.83
22,87,0.83
22,92,0.825
22,97,0.825
23,2,0.865
23,7,0.89
23,12,0.9
23,17,0.875
23,22,0.87
23,27,0.865
23,32,0.855
23,37,0.85
23,42,0.85
23,47,0.845
23,52,0.845
23,57,0.84
23,62,0.835
23,67,0.845
23,72,0.84
23,77,0.835
23,82,0.83
23,87,0.83
23,92,0.825
23,97,0.825
24,2,0.865
24,7,0.89
24,12,0.9
24,17,0.875
24,22,0.87
24,27,0.865
24,32,0.855
24,37,0.85
24,42,0.85
24,47,0.845
24,52,0.845
24,57,0.84
24,62,0.835
24,67,0.845
24,72,0.84
24,77,0.835
24,82,0.83
24,87,0.83
24,92,0.825
24,97,0.825
