n_estimators,tree_depth,min_samples_split,max_features,Accuracy
1,4,2,2,0.402821
1,4,2,4,0.525641
1,4,2,8,0.599231
1,4,2,10,0.632564
1,4,2,12,0.641282
1,4,2,16,0.625385
1,4,5,2,0.398205
1,4,5,4,0.516154
1,4,5,8,0.604615
1,4,5,10,0.622821
1,4,5,12,0.641026
1,4,5,16,0.62641
1,4,10,2,0.391282
1,4,10,4,0.527436
1,4,10,8,0.624359
1,4,10,10,0.610256
1,4,10,12,0.628974
1,4,10,16,0.633846
1,4,15,2,0.436667
1,4,15,4,0.545385
1,4,15,8,0.612564
1,4,15,10,0.641795
1,4,15,12,0.621795
1,4,15,16,0.641282
1,4,20,2,0.502821
1,4,20,4,0.557436
1,4,20,8,0.62359
1,4,20,10,0.612821
1,4,20,12,0.637179
1,4,20,16,0.635897
1,4,25,2,0.447692
1,4,25,4,0.549487
1,4,25,8,0.604615
1,4,25,10,0.632564
1,4,25,12,0.641282
1,4,25,16,0.635641
1,4,30,2,0.395128
1,4,30,4,0.548205
1,4,30,8,0.616154
1,4,30,10,0.627949
1,4,30,12,0.638718
1,4,30,16,0.630513
1,8,2,2,0.507692
1,8,2,4,0.663333
1,8,2,8,0.781282
1,8,2,10,0.813077
1,8,2,12,0.814359
1,8,2,16,0.829231
1,8,5,2,0.434872
1,8,5,4,0.644615
1,8,5,8,0.79359
1,8,5,10,0.805385
1,8,5,12,0.812051
1,8,5,16,0.844872
1,8,10,2,0.503333
1,8,10,4,0.624103
1,8,10,8,0.771282
1,8,10,10,0.820256
1,8,10,12,0.830769
1,8,10,16,0.837949
1,8,15,2,0.395897
1,8,15,4,0.652051
1,8,15,8,0.801026
1,8,15,10,0.794615
1,8,15,12,0.81641
1,8,15,16,0.834359
1,8,20,2,0.453846
1,8,20,4,0.655128
1,8,20,8,0.76
1,8,20,10,0.809487
1,8,20,12,0.835385
1,8,20,16,0.824359
1,8,25,2,0.392308
1,8,25,4,0.618462
1,8,25,8,0.758462
1,8,25,10,0.804615
1,8,25,12,0.815897
1,8,25,16,0.835641
1,8,30,2,0.45641
1,8,30,4,0.650769
1,8,30,8,0.791026
1,8,30,10,0.802051
1,8,30,12,0.809487
1,8,30,16,0.820769
1,12,2,2,0.430256
1,12,2,4,0.70641
1,12,2,8,0.815641
1,12,2,10,0.851282
1,12,2,12,0.878205
1,12,2,16,0.887692
1,12,5,2,0.522051
1,12,5,4,0.631538
1,12,5,8,0.824615
1,12,5,10,0.859487
1,12,5,12,0.86641
1,12,5,16,0.884359
1,12,10,2,0.492051
1,12,10,4,0.658718
1,12,10,8,0.815641
1,12,10,10,0.872308
1,12,10,12,0.871026
1,12,10,16,0.874359
1,12,15,2,0.441538
1,12,15,4,0.62
1,12,15,8,0.836667
1,12,15,10,0.854359
1,12,15,12,0.859487
1,12,15,16,0.875641
1,12,20,2,0.430256
1,12,20,4,0.674872
1,12,20,8,0.813077
1,12,20,10,0.81641
1,12,20,12,0.853333
1,12,20,16,0.881282
1,12,25,2,0.449487
1,12,25,4,0.672308
1,12,25,8,0.807179
1,12,25,10,0.841282
1,12,25,12,0.860769
1,12,25,16,0.873333
1,12,30,2,0.453846
1,12,30,4,0.659744
1,12,30,8,0.793846
1,12,30,10,0.838462
1,12,30,12,0.84641
1,12,30,16,0.872308
1,16,2,2,0.382821
1,16,2,4,0.58641
1,16,2,8,0.842821
1,16,2,10,0.868974
