n_estimators,tree_depth,min_samples_split,max_features,Accuracy
10,4,2,2,0.650513
10,4,2,4,0.711538
10,4,2,8,0.752564
10,4,2,10,0.73641
10,4,2,12,0.737949
10,4,2,16,0.667949
10,4,5,2,0.648462
10,4,5,4,0.730513
10,4,5,8,0.743846
10,4,5,10,0.743846
10,4,5,12,0.719487
10,4,5,16,0.677949
10,4,10,2,0.613333
10,4,10,4,0.706667
10,4,10,8,0.738718
10,4,10,10,0.746154
10,4,10,12,0.712564
10,4,10,16,0.663846
10,4,15,2,0.592308
10,4,15,4,0.721282
10,4,15,8,0.746667
10,4,15,10,0.741282
10,4,15,12,0.717949
10,4,15,16,0.675128
10,4,20,2,0.637692
10,4,20,4,0.712564
10,4,20,8,0.748718
10,4,20,10,0.732564
10,4,20,12,0.722821
10,4,20,16,0.675128
10,4,25,2,0.643333
10,4,25,4,0.734103
10,4,25,8,0.737692
10,4,25,10,0.74359
10,4,25,12,0.714103
10,4,25,16,0.678718
10,4,30,2,0.619487
10,4,30,4,0.705897
10,4,30,8,0.755385
10,4,30,10,0.748462
10,4,30,12,0.716923
10,4,30,16,0.67641
10,8,2,2,0.67
10,8,2,4,0.814615
10,8,2,8,0.863333
10,8,2,10,0.854872
10,8,2,12,0.869231
10,8,2,16,0.863077
10,8,5,2,0.666667
10,8,5,4,0.811282
10,8,5,8,0.865128
10,8,5,10,0.866667
10,8,5,12,0.872821
10,8,5,16,0.862821
10,8,10,2,0.675128
10,8,10,4,0.82
10,8,10,8,0.861795
10,8,10,10,0.868462
10,8,10,12,0.873077
10,8,10,16,0.864615
10,8,15,2,0.66641
10,8,15,4,0.809231
10,8,15,8,0.864103
10,8,15,10,0.861795
10,8,15,12,0.865128
10,8,15,16,0.852821
10,8,20,2,0.698718
10,8,20,4,0.817179
10,8,20,8,0.86
10,8,20,10,0.864359
10,8,20,12,0.864615
10,8,20,16,0.861282
10,8,25,2,0.655897
10,8,25,4,0.822821
10,8,25,8,0.864872
10,8,25,10,0.872821
10,8,25,12,0.874359
10,8,25,16,0.86
10,8,30,2,0.68359
10,8,30,4,0.817949
10,8,30,8,0.861538
10,8,30,10,0.861795
10,8,30,12,0.861538
10,8,30,16,0.854103
1,4,2,2,0.482051
1,4,2,4,0.527692
1,4,2,8,0.629487
1,4,2,10,0.660513
1,4,2,12,0.649744
1,4,2,16,0.668718
1,4,5,2,0.448462
1,4,5,4,0.563333
1,4,5,8,0.60641
1,4,5,10,0.631795
1,4,5,12,0.660513
1,4,5,16,0.664359
1,4,10,2,0.418718
1,4,10,4,0.539231
1,4,10,8,0.612051
1,4,10,10,0.647179
1,4,10,12,0.671538
1,4,10,16,0.660256
1,4,15,2,0.413846
1,4,15,4,0.567436
1,4,15,8,0.622564
1,4,15,10,0.633077
1,4,15,12,0.664359
1,4,15,16,0.679744
1,4,20,2,0.414872
1,4,20,4,0.540769
1,4,20,8,0.645641
1,4,20,10,0.63359
1,4,20,12,0.644615
1,4,20,16,0.665897
1,4,25,2,0.432821
1,4,25,4,0.575641
1,4,25,8,0.605385
1,4,25,10,0.632308
1,4,25,12,0.640513
1,4,25,16,0.659231
1,4,30,2,0.441026
1,4,30,4,0.519487
1,4,30,8,0.616667
1,4,30,10,0.647692
1,4,30,12,0.644359
1,4,30,16,0.671795
1,8,2,2,0.472308
1,8,2,4,0.631538
1,8,2,8,0.755128
1,8,2,10,0.768974
1,8,2,12,0.797949
1,8,2,16,0.819744
1,8,5,2,0.455897
1,8,5,4,0.640256
1,8,5,8,0.761538
1,8,5,10,0.774359
1,8,5,12,0.791026
1,8,5,16,0.817436
1,8,10,2,0.429744
1,8,10,4,0.624103
1,8,10,8,0.772821
1,8,10,10,0.78359
1,8,10,12,0.811026
1,8,10,16,0.814359
1,8,15,2,0.40359
1,8,15,4,0.568974
1,8,15,8,0.741282
1,8,15,10,0.751282
1,8,15,12,0.786667
1,8,15,16,0.814615
1,8,20,2,0.469744
1,8,20,4,0.636667
1,8,20,8,0.770769
1,8,20,10,0.789487
1,8,20,12,0.788718
1,8,20,16,0.814872
1,8,25,2,0.428462
1,8,25,4,0.627179
1,8,25,8,0.753077
1,8,25,10,0.781538
1,8,25,12,0.793077
1,8,25,16,0.808205
1,8,30,2,0.45641
1,8,30,4,0.644615
1,8,30,8,0.757179
1,8,30,10,0.777949
1,8,30,12,0.78641
1,8,30,16,0.810513
1,12,2,2,0.486154
1,12,2,4,0.641795
1,12,2,8,0.784872
1,12,2,10,0.814103
1,12,2,12,0.823333
1,12,2,16,0.850513
1,12,5,2,0.433077
1,12,5,4,0.682051
1,12,5,8,0.783077
1,12,5,10,0.801538
1,12,5,12,0.828974
1,12,5,16,0.841026
1,12,10,2,0.491538
1,12,10,4,0.650256
1,12,10,8,0.793333
1,12,10,10,0.797436
1,12,10,12,0.819487
1,12,10,16,0.833077
1,12,15,2,0.389744
1,12,15,4,0.619231
1,12,15,8,0.754872
1,12,15,10,0.790769
1,12,15,12,0.809231
1,12,15,16,0.839487
1,12,20,2,0.475128
1,12,20,4,0.643077
1,12,20,8,0.763077
1,12,20,10,0.79
1,12,20,12,0.810513
1,12,20,16,0.826154
1,12,25,2,0.479744
1,12,25,4,0.583333
1,12,25,8,0.754359
1,12,25,10,0.798205
1,12,25,12,0.812308
1,12,25,16,0.831538
1,12,30,2,0.512051
1,12,30,4,0.604103
1,12,30,8,0.761282
1,12,30,10,0.77359
1,12,30,12,0.801538
1,12,30,16,0.822564
1,16,2,2,0.424359
1,16,2,4,0.655128
1,16,2,8,0.780256
1,16,2,10,0.81
1,16,2,12,0.835897
1,16,2,16,0.838205
1,16,5,2,0.455641
1,16,5,4,0.655897
1,16,5,8,0.762821
1,16,5,10,0.803077
1,16,5,12,0.822051
1,16,5,16,0.842564
1,16,10,2,0.390513
1,16,10,4,0.656667
1,16,10,8,0.772564
1,16,10,10,0.811026
1,16,10,12,0.804359
1,16,10,16,0.842308
1,16,15,2,0.427949
1,16,15,4,0.610513
1,16,15,8,0.77359
1,16,15,10,0.801795
1,16,15,12,0.812308
1,16,15,16,0.834359
1,16,20,2,0.518205
1,16,20,4,0.623077
1,16,20,8,0.759231
1,16,20,10,0.793333
1,16,20,12,0.809231
1,16,20,16,0.832564
1,16,25,2,0.443077
1,16,25,4,0.641026
1,16,25,8,0.764359
1,16,25,10,0.774103
1,16,25,12,0.818718
1,16,25,16,0.827179
1,16,30,2,0.405641
1,16,30,4,0.648462
1,16,30,8,0.761282
1,16,30,10,0.783077
1,16,30,12,0.798462
1,16,30,16,0.832051
1,20,2,2,0.426667
1,20,2,4,0.601026
1,20,2,8,0.766667
1,20,2,10,0.797692
1,20,2,12,0.82
1,20,2,16,0.841538
1,20,5,2,0.477436
1,20,5,4,0.602821
1,20,5,8,0.778462
1,20,5,10,0.79359
1,20,5,12,0.830769
